"state_name","race_grp","pop_share_agg","pop_weighted"
"Alabama","White",0.710938646096725,737468.257
"Alabama","Black",0.235456134409805,292936.086
"Alabama","Asian",0.011772585307892,15802.689
"Alabama","Hispanic",0.0244680494587979,42818.634
"Alabama","Native Hawaiian or Other Pacific Islander",0.000385599427778715,428.476
"Alabama","Other",0.0128276311939044,16134.003
"Alabama","American Indian or Alaska Native",0.00415135410509731,4570.424
"Alaska","American Indian or Alaska Native",0.130978999886907,10538.407024234
"Alaska","Other",0.053415879571224,4367.695042463
"Alaska","White",0.658195807936432,51581.532215415
"Alaska","Hispanic",0.0555727642000596,4823.479339005
"Alaska","Native Hawaiian or Other Pacific Islander",0.010589499438943,865.349999931
"Alaska","Asian",0.0665053665118976,5206.140494779
"Alaska","Black",0.0247416824545366,2020.220660981
"Arizona","Other",0.0142743722496745,22603.544597886
"Arizona","American Indian or Alaska Native",0.0311534450630011,44664.873675892
"Arizona","Hispanic",0.225401527460408,339147.612561554
"Arizona","White",0.661869691706337,873034.767315493
"Arizona","Black",0.0357242480312759,51498.165008251
"Arizona","Asian",0.0302363726878337,43631.231580576
"Arizona","Native Hawaiian or Other Pacific Islander",0.00134034280146975,2027.634530656
"California","Asian",0.157851358890158,1624246.749
"California","Hispanic",0.319076143912075,3773118.039
"California","White",0.438386937538387,4025148.515
"California","Other",0.0233881971425624,286092.06
"California","Black",0.0539921649653093,563809.479
"California","American Indian or Alaska Native",0.00393262822135435,38379.977
"California","Native Hawaiian or Other Pacific Islander",0.00337256933015437,37297.001
"Colorado","Hispanic",0.160566087844693,105413.800838574
"Colorado","White",0.752188169862944,446843.445742238
"Colorado","Asian",0.0299640126649256,19307.8781072177
"Colorado","Other",0.0169085253104045,11415.9043625836
"Colorado","Black",0.0339215255895089,21569.540481182
"Colorado","American Indian or Alaska Native",0.00543815450743497,3027.05780173705
"Colorado","Native Hawaiian or Other Pacific Islander",0.00101352422008878,730.037336527903
"Connecticut","White",0.759840623169697,296645.297
"Connecticut","Black",0.0828031825344436,34091.466
"Connecticut","Asian",0.0363778556260783,15111.675
"Connecticut","Hispanic",0.106559027407208,44586.637
"Connecticut","Other",0.0125440147964392,5213.049
"Connecticut","American Indian or Alaska Native",0.00173596129174793,694.381
"Connecticut","Native Hawaiian or Other Pacific Islander",0.000139335174386008,59.959
"Delaware","White",0.71626095482724,133427.060606061
"Delaware","Asian",0.0336189964130755,6218.51515151515
"Delaware","Hispanic",0.0543649475511546,10070.1212121212
"Delaware","Black",0.180893326674482,33694.202020202
"Delaware","Other",0.0112053951572827,2112.88888888889
"Delaware","American Indian or Alaska Native",0.00355856439447063,661.646464646465
"Delaware","Native Hawaiian or Other Pacific Islander",0.0000978149822952322,19.2929292929293
"District of Columbia","Black",0.469560303787798,73371.24734087
"District of Columbia","Hispanic",0.0878551023046461,17357.84054235
"District of Columbia","White",0.381133359726663,72230.552943266
"District of Columbia","Other",0.0206802218465681,4327.521727354
"District of Columbia","Asian",0.0382284047517403,7650.403182244
"District of Columbia","American Indian or Alaska Native",0.0024390573335099,541.690332824
"District of Columbia","Native Hawaiian or Other Pacific Islander",0.000103550249073825,31.948047696
"Florida","White",0.647826386047292,1420684.11766465
"Florida","Asian",0.0244339186488851,57789.72471429
"Florida","Black",0.112273289979059,267622.650582478
"Florida","Hispanic",0.201739013153074,472850.409940214
"Florida","Other",0.011383087347449,27692.428100936
"Florida","American Indian or Alaska Native",0.00192330400974116,4743.385952684
"Florida","Native Hawaiian or Other Pacific Islander",0.000421000814499688,1039.335195046
"Idaho","White",0.877990186021957,154174.976407387
"Idaho","Hispanic",0.0802338276658204,15930.252163599
"Idaho","Other",0.0179106704956051,3382.910155069
"Idaho","Asian",0.0116922077948467,2263.820605353
"Idaho","Native Hawaiian or Other Pacific Islander",0.000410631718737337,90.889320066
"Idaho","American Indian or Alaska Native",0.00891769055849507,1625.492506891
"Idaho","Black",0.00284478574453871,603.886195593
"Illinois","White",0.665005281221569,3450105.732
"Illinois","Asian",0.0552627171760362,324800.395
"Illinois","Hispanic",0.136566090840377,905726.037
"Illinois","Other",0.0135329060519924,94372.798
"Illinois","Black",0.128667345226262,737688.509
"Illinois","American Indian or Alaska Native",0.000775497694142815,4666.645
"Illinois","Native Hawaiian or Other Pacific Islander",0.000190161789620087,1392.863
"Indiana","Native Hawaiian or Other Pacific Islander",0.000368740670894362,130.157157157157
"Indiana","White",0.855794311919725,297328.48048048
"Indiana","Hispanic",0.0398306200075264,15382.2562562563
"Indiana","Black",0.0757189237247882,27531.1881881882
"Indiana","Other",0.00901185354504637,3529.33533533534
"Indiana","Asian",0.017267057563368,6416.06206206206
"Indiana","American Indian or Alaska Native",0.00200849256865172,777.85985985986
"Iowa","White",0.896730292607296,315025.3774
"Iowa","Hispanic",0.0407226784836362,15787.6676
"Iowa","Black",0.0288586211732232,10705.407
"Iowa","Other",0.00943902338403456,3589.3412
"Iowa","Asian",0.0210268019196835,7957.2142
"Iowa","American Indian or Alaska Native",0.00293893616312329,1121.5067
"Iowa","Native Hawaiian or Other Pacific Islander",0.000283646269003575,107.822
"Kansas","White",0.822772097887195,228194.17124275
"Kansas","Hispanic",0.078154753575936,24582.2558276927
"Kansas","Black",0.0496460566032257,14627.0906649909
"Kansas","Other",0.0183959841712822,5537.80947697519
"Kansas","Asian",0.0237878846260695,7568.81470689518
"Kansas","American Indian or Alaska Native",0.00698942651563021,2010.65909395734
"Kansas","Native Hawaiian or Other Pacific Islander",0.000253796620661279,89.2337497367662
"Kentucky","White",0.879664574896718,464623.033520853
"Kentucky","Asian",0.0127162864024587,6775.80573821781
"Kentucky","Hispanic",0.0230559954969057,12260.3893492914
