"state_name","race_grp","Race Categories Include Hispanic Individuals","value","value_adj","pop_share_agg","pop_weighted","pop_share_agg_adj","effective_demand"
"Alabama","American Indian or Alaska Native","",,,0.00415135410509731,4570.424,,
"Alabama","Asian","",0.02,0.0202020202020202,0.011772585307892,15802.689,0.0122865646732662,1.64423667145764
"Alabama","Black","",0.21,0.212121212121212,0.235456134409805,292936.086,0.245735915050365,0.863208017752457
"Alabama","Hispanic","",,,0.0244680494587979,42818.634,,
"Alabama","Native Hawaiian or Other Pacific Islander","",,,0.000385599427778715,428.476,,
"Alabama","White","",0.76,0.767676767676768,0.710938646096725,737468.257,0.741977520276368,1.0346361536544
"Alaska","American Indian or Alaska Native","Yes",0.22,0.338461538461538,0.130978999886907,10538.407024234,0.13837016389793,2.44605866558927
"Alaska","Asian","Yes",0.05,0.0769230769230769,0.0665053665118976,5206.140494779,0.0702582740155968,1.09486146650857
"Alaska","Black","Yes",0.01,0.0143035343035343,0.0247416824545366,2020.220660981,0.0261378591934643,0.547234346840113
"Alaska","Hispanic","Yes",0.04,0.04,0.0555727642000596,4823.479339005,0.0587087433654462,0.68132952107339
"Alaska","Native Hawaiian or Other Pacific Islander","Yes",0.01,0.0153846153846154,0.010589499438943,865.349999931,0.011187066432243,1.3752144476656
"Alaska","White","Yes",0.36,0.514927234927235,0.658195807936432,51581.532215415,0.69533789309532,0.740542461500291
"Arizona","American Indian or Alaska Native","",0.03,0.0365853658536585,0.0311534450630011,44664.873675892,0.0316476135303259,1.1560228962794
"Arizona","Asian","",0.04,0.0487804878048781,0.0302363726878337,43631.231580576,0.0307159941845378,1.58811359032727
"Arizona","Black","",0.02,0.024390243902439,0.0357242480312759,51498.165008251,0.0362909204124602,0.672075649369995
"Arizona","Hispanic","",0.15,0.182926829268293,0.225401527460408,339147.612561554,0.228976937086295,0.798887571805334
"Arizona","Native Hawaiian or Other Pacific Islander","",,,0.00134034280146975,2027.634530656,,
"Arizona","White","",0.58,0.707317073170732,0.661869691706337,873034.767315493,0.672368534786381,1.05197824790456
"Arkansas","American Indian or Alaska Native","Yes",,,0.00564485117353913,2263.97397397397,,
"Arkansas","Asian","Yes",0.01,0.0104166666666667,0.0128678386026353,5410.06006006006,0.0131564480019237,0.791753721456093
"Arkansas","Black","Yes",0.11,0.103004385964912,0.133709826923364,53140.5515515516,0.136708769793179,0.753458509799652
"Arkansas","Hispanic","Yes",0.1,0.1,0.0485400768934263,19876.2762762763,0.0496287696308962,2.01496028903657
"Arkansas","Native Hawaiian or Other Pacific Islander","Yes",,,0.00171348548870307,666.455455455455,,
"Arkansas","White","Yes",0.84,0.786578947368421,0.78294553125093,292038.606606607,0.800506012574001,0.982602172892121
"California","American Indian or Alaska Native","",,,0.00393262822135435,38379.977,,
"California","Asian","",0.14,0.189189189189189,0.157851358890158,1624246.749,0.162849771193231,1.1617405895198
"California","Black","",0.03,0.0405405405405405,0.0539921649653093,563809.479,0.055701843637255,0.727813262421819
"California","Hispanic","",0.22,0.297297297297297,0.319076143912075,3773118.039,0.329179789104367,0.903145658201509
"California","Native Hawaiian or Other Pacific Islander","",,,0.00337256933015437,37297.001,,
"California","White","",0.35,0.472972972972973,0.438386937538387,4025148.515,0.452268596065148,1.04577893996611
"Colorado","American Indian or Alaska Native","",0.01,0.0101010101010101,0.00543815450743497,3027.05780173705,0.00553739599268584,1.82414443799074
"Colorado","Asian","",0.03,0.0303030303030303,0.0299640126649256,19307.8781072177,0.0305108292581058,0.993189337683431
"Colorado","Black","",0.03,0.0303030303030303,0.0339215255895089,21569.540481182,0.0345405632753407,0.877317201270552
"Colorado","Hispanic","",0.09,0.0909090909090909,0.160566087844693,105413.800838574,0.163496276204888,0.556031568542678
"Colorado","Native Hawaiian or Other Pacific Islander","",,,0.00101352422008878,730.037336527903,,
"Colorado","White","",0.83,0.838383838383838,0.752188169862944,446843.445742238,0.765914935268979,1.09461743044534
"Connecticut","American Indian or Alaska Native","",,,0.00173596129174793,694.381,,
"Connecticut","Asian","",0.03,0.032967032967033,0.0363778556260783,15111.675,0.0369100734640813,0.893171697398936
"Connecticut","Black","",0.06,0.0659340659340659,0.0828031825344436,34091.466,0.0840146154248601,0.784792807782775
"Connecticut","Hispanic","",0.07,0.0769230769230769,0.106559027407208,44586.637,0.108118014714467,0.711473264896937
"Connecticut","Native Hawaiian or Other Pacific Islander","",,,0.000139335174386008,59.959,,
"Connecticut","White","",0.75,0.824175824175824,0.759840623169697,296645.297,0.770957296396591,1.0690291511968
"Delaware","American Indian or Alaska Native","Yes",,,0.00355856439447063,661.646464646465,,
"Delaware","Asian","Yes",0.03,0.0340909090909091,0.0336189964130755,6218.51515151515,0.0341261718853457,0.998966693523227
"Delaware","Black","Yes",0.11,0.119823529411765,0.180893326674482,33694.202020202,0.183622279593224,0.652554415930398
"Delaware","Hispanic","Yes",0.04,0.04,0.0543649475511546,10070.1212121212,0.0551850960056301,0.724833386099738
"Delaware","Native Hawaiian or Other Pacific Islander","Yes",,,0.0000978149822952322,19.2929292929293,,
"Delaware","White","Yes",0.74,0.806085561497326,0.71626095482724,133427.060606061,0.7270664525158,1.10868210011355
"District of Columbia","American Indian or Alaska Native","Yes",,,0.0024390573335099,541.690332824,,
"District of Columbia","Asian","Yes",,,0.0382284047517403,7650.403182244,,
"District of Columbia","Black","Yes",0.36,0.43012987012987,0.469560303787798,73371.24734087,0.500304641472726,0.859735917827415
"District of Columbia","Hispanic","Yes",0.08,0.08,0.0878551023046461,17357.84054235,0.0936073920761822,0.854633359883503
"District of Columbia","Native Hawaiian or Other Pacific Islander","Yes",,,0.000103550249073825,31.948047696,,
"District of Columbia","White","Yes",0.41,0.48987012987013,0.381133359726663,72230.552943266,0.406087966451092,1.206315306881
"Florida","American Indian or Alaska Native","Yes",,,0.00192330400974116,4743.385952684,,
"Florida","Asian","Yes",,,0.0244339186488851,57789.72471429,,
"Florida","Black","Yes",0.07,0.0651724137931034,0.112273289979059,267622.650582478,0.116727774877555,0.558328245882077
"Florida","Hispanic","Yes",0.19,0.19,0.201739013153074,472850.409940214,0.20974308418097,0.905870154155188
"Florida","Native Hawaiian or Other Pacific Islander","Yes",,,0.000421000814499688,1039.335195046,,
"Florida","White","Yes",0.8,0.744827586206896,0.647826386047292,1420684.11766465,0.673529140941474,1.10585799623422
"Georgia","American Indian or Alaska Native","Yes",,,0.00204526886589819,2802.85385385385,,
"Georgia","Asian","Yes",0.05,0.0537634408602151,0.0377849850214278,52145.1401401401,0.0383693604961857,1.40120763455413
"Georgia","Black","Yes",0.23,0.23947091886608,0.284809675991411,389092.179179179,0.289214488896027,0.82800457121002
"Georgia","Hispanic","Yes",0.03,0.03,0.0639694177876716,91984.3123123123,0.0649587567769144,0.461831498762021
"Georgia","Native Hawaiian or Other Pacific Islander","Yes",,,0.000428402529297276,540.820820820821,,
"Georgia","White","Yes",0.65,0.676765640273705,0.598205657593299,750708.085085085,0.607457393830873,1.11409565040561
"Hawaii","American Indian or Alaska Native","",,,0.00164741073100404,345.298298298298,,
"Hawaii","Asian","",0.57,0.575757575757576,0.452166008609771,80568.005005005,0.571678473353777,1.00713530873372
"Hawaii","Black","",0.01,0.0101010101010101,0.0138092376576144,2709.79379379379,0.0174591715254244,0.578550367427275
"Hawaii","Hispanic","",,,0.0667813902647189,12767.984984985,,
"Hawaii","Native Hawaiian or Other Pacific Islander","",0.12,0.121212121212121,0.0837951295330607,15598.5485485485,0.105943106765649,1.14412466193056
"Hawaii","White","",0.29,0.292929292929293,0.24117423674919,43818.3303303303,0.30491924835515,0.960678259930997
"Idaho","American Indian or Alaska Native","Yes",0.01,0.0117647058823529,0.00891769055849507,1625.492506891,0.00911052472620142,1.29133131580426
"Idaho","Asian","Yes",0.01,0.0117647058823529,0.0116922077948467,2263.820605353,0.0119450375094437,0.984903218014328
"Idaho","Black","Yes",,,0.00284478574453871,603.886195593,,
"Idaho","Hispanic","Yes",0.06,0.06,0.0802338276658204,15930.252163599,0.0819687862045077,0.73198595194887
"Idaho","Native Hawaiian or Other Pacific Islander","Yes",,,0.000410631718737337,90.889320066,,
"Idaho","White","Yes",0.83,0.916470588235294,0.877990186021957,154174.976407387,0.896975651559847,1.02173407565918
"Illinois","American Indian or Alaska Native","",,,0.000775497694142815,4666.645,,
"Illinois","Asian","",0.06,0.0612244897959184,0.0552627171760362,324800.395,0.0560757348933531,1.0918178765264
"Illinois","Black","",0.09,0.0918367346938776,0.128667345226262,737688.509,0.130560282031665,0.703404843071681
"Illinois","Hispanic","",0.11,0.112244897959184,0.136566090840377,905726.037,0.138575232936743,0.809992489858711
"Illinois","Native Hawaiian or Other Pacific Islander","",,,0.000190161789620087,1392.863,,
"Illinois","White","",0.72,0.73469387755102,0.665005281221569,3450105.732,0.674788750138239,1.08877612052736
"Indiana","American Indian or Alaska Native","Yes",,,0.00200849256865172,777.85985985986,,
"Indiana","Asian","Yes",0.02,0.0206185567010309,0.017267057563368,6416.06206206206,0.0174659791152899,1.18049818821673
"Indiana","Black","Yes",0.06,0.0599609332609875,0.0757189237247882,27531.1881881882,0.0765912278658914,0.782869460794872
"Indiana","Hispanic","Yes",0.03,0.03,0.0398306200075264,15382.2562562563,0.0402894803962656,0.744611241071768
"Indiana","Native Hawaiian or Other Pacific Islander","Yes",,,0.000368740670894362,130.157157157157,,
"Indiana","White","Yes",0.89,0.889420510037982,0.855794311919725,297328.48048048,0.865653312622553,1.02745579213857
"Iowa","American Indian or Alaska Native","Yes",,,0.00293893616312329,1121.5067,,
"Iowa","Asian","Yes",0.01,0.0103092783505155,0.0210268019196835,7957.2142,0.0212964491642856,0.484084378150901
"Iowa","Black","Yes",0.01,0.0101009450171821,0.0288586211732232,10705.407,0.0292287034953994,0.34558306764349
"Iowa","Hispanic","Yes",0.02,0.02,0.0407226784836362,15787.6676,0.0412449052153985,0.484908375847913
"Iowa","Native Hawaiian or Other Pacific Islander","Yes",,,0.000283646269003575,107.822,,
"Iowa","White","Yes",0.95,0.959589776632302,0.896730292607296,315025.3774,0.908229942124916,1.05654937381521
"Kansas","American Indian or Alaska Native","Yes",,,0.00698942651563021,2010.65909395734,,
"Kansas","Asian","Yes",0.02,0.0240963855421687,0.0237878846260695,7568.81470689518,0.0244138360291951,0.98699710743339
"Kansas","Black","Yes",0.03,0.03318161535029,0.0496460566032257,14627.0906649909,0.0509524366903558,0.651227252426391
"Kansas","Hispanic","Yes",0.08,0.08,0.078154753575936,24582.2558276927,0.0802113079283219,0.997365609241646
"Kansas","Native Hawaiian or Other Pacific Islander","Yes",,,0.000253796620661279,89.2337497367662,,
"Kansas","White","Yes",0.78,0.862721999107541,0.822772097887195,228194.17124275,0.844422419352127,1.02167112020718
"Kentucky","American Indian or Alaska Native","",,,0.00133786122725916,706.965980933966,,
