"state_name","race_grp","state_pop"
"Mississippi","Hispanic",59503
"Mississippi","Asian",22101
"Mississippi","American Indian or Alaska Native",8232
"Mississippi","Other",23175
"Mississippi","Native Hawaiian or Other Pacific Islander",169
"Missouri","White",3853883
"Missouri","Black",510973
"Missouri","Native Hawaiian or Other Pacific Islander",5848
"Missouri","Hispanic",173647
"Missouri","Asian",104237
"Missouri","Other",83724
"Missouri","American Indian or Alaska Native",16823
"Montana","White",739103
"Montana","Other",19574
"Montana","Hispanic",28460
"Montana","Asian",6348
"Montana","American Indian or Alaska Native",43592
"Montana","Black",3831
"Montana","Native Hawaiian or Other Pacific Islander",386
"Nebraska","White",1188230
"Nebraska","Hispanic",138565
"Nebraska","Asian",36516
"Nebraska","Other",21898
"Nebraska","Black",63307
"Nebraska","American Indian or Alaska Native",9922
"Nebraska","Native Hawaiian or Other Pacific Islander",454
"Nevada","White",1245965
"Nevada","Asian",217426
"Nevada","Hispanic",637738
"Nevada","Black",214814
"Nevada","Other",76261
"Nevada","American Indian or Alaska Native",21522
"Nevada","Native Hawaiian or Other Pacific Islander",14427
"New Hampshire","White",999109
"New Hampshire","Other",16896
"New Hampshire","Asian",28974
"New Hampshire","Hispanic",35504
"New Hampshire","Black",12633
"New Hampshire","Native Hawaiian or Other Pacific Islander",975
"New Hampshire","American Indian or Alaska Native",1138
"New Jersey","Asian",680065
"New Jersey","White",3970749
"New Jersey","Hispanic",1349772
"New Jersey","Black",862943
"New Jersey","Other",123603
"New Jersey","American Indian or Alaska Native",7026
"New Jersey","Native Hawaiian or Other Pacific Islander",1871
"New Mexico","Hispanic",758378
"New Mexico","White",656989
"New Mexico","American Indian or Alaska Native",134295
"New Mexico","Asian",28581
"New Mexico","Other",24671
"New Mexico","Black",30354
"New Mexico","Native Hawaiian or Other Pacific Islander",634
"New York","Other",335214
"New York","White",8747402
"New York","Asian",1356749
"New York","Hispanic",2756600
"New York","Black",2110719
"New York","American Indian or Alaska Native",32122
"New York","Native Hawaiian or Other Pacific Islander",2001
"North Carolina","White",5357619
"North Carolina","Hispanic",654602
"North Carolina","Black",1681755
"North Carolina","Asian",236798
"North Carolina","Other",154565
"North Carolina","American Indian or Alaska Native",89463
"North Carolina","Native Hawaiian or Other Pacific Islander",4064
"North Dakota","White",496798
"North Dakota","Other",9985
"North Dakota","American Indian or Alaska Native",25581
"North Dakota","Hispanic",20061
"North Dakota","Black",14040
"North Dakota","Asian",9946
"North Dakota","Native Hawaiian or Other Pacific Islander",1499
"Ohio","White",7331603
"Ohio","Hispanic",311304
"Ohio","Other",171918
"Ohio","Asian",212526
"Ohio","Black",1049700
"Ohio","American Indian or Alaska Native",13569
"Ohio","Native Hawaiian or Other Pacific Islander",2952
"Oklahoma","White",2055642
"Oklahoma","Other",174340
"Oklahoma","Black",203040
"Oklahoma","American Indian or Alaska Native",221870
"Oklahoma","Hispanic",274803
"Oklahoma","Asian",66185
"Oklahoma","Native Hawaiian or Other Pacific Islander",4110
"Oregon","White",2613858
"Oregon","Hispanic",381822
"Oregon","Black",57831
"Oregon","Other",108055
"Oregon","Asian",161593
"Oregon","American Indian or Alaska Native",31410
"Oregon","Native Hawaiian or Other Pacific Islander",8999
"Pennsylvania","White",7879050
"Pennsylvania","Black",985941
"Pennsylvania","Hispanic",659620
"Pennsylvania","Asian",357165
"Pennsylvania","Other",161266
"Pennsylvania","American Indian or Alaska Native",11778
"Pennsylvania","Native Hawaiian or Other Pacific Islander",1659
"Rhode Island","White",619818
"Rhode Island","Black",46867
"Rhode Island","Hispanic",120533
"Rhode Island","Asian",29847
"Rhode Island","American Indian or Alaska Native",1978
"Rhode Island","Other",21616
"Rhode Island","Native Hawaiian or Other Pacific Islander",183
"South Carolina","White",2662540
