"state_name","race_grp","value_adj"
"Missouri","American Indian or Alaska Native",0.00168796722277395
"Missouri","Asian",0.0212906026502532
"Missouri","Black",0.0706333738975959
"Missouri","Hispanic",0.040272582
"Missouri","Native Hawaiian or Other Pacific Islander",0.0027265119191624
"Missouri","White",0.863388962310215
"Montana","American Indian or Alaska Native",
"Montana","Asian",
"Montana","Black",
"Montana","Hispanic",
"Montana","Native Hawaiian or Other Pacific Islander",
"Montana","White",
"Nebraska","American Indian or Alaska Native",0.00445250704376137
"Nebraska","Asian",0.0229616600421758
"Nebraska","Black",0.0288018016661848
"Nebraska","Hispanic",0.053092302
"Nebraska","Native Hawaiian or Other Pacific Islander",0.000904171009677288
"Nebraska","White",0.889787558238201
"Nevada","American Indian or Alaska Native",0.00708382526564345
"Nevada","Asian",0.134592680047226
"Nevada","Black",0.0649350649350649
"Nevada","Hispanic",0.208972845336482
"Nevada","Native Hawaiian or Other Pacific Islander",
"Nevada","White",0.584415584415584
"New Hampshire","American Indian or Alaska Native",
"New Hampshire","Asian",
"New Hampshire","Black",
"New Hampshire","Hispanic",
"New Hampshire","Native Hawaiian or Other Pacific Islander",
"New Hampshire","White",
"New Jersey","American Indian or Alaska Native",
"New Jersey","Asian",0.1
"New Jersey","Black",0.0625
"New Jersey","Hispanic",0.1
"New Jersey","Native Hawaiian or Other Pacific Islander",
"New Jersey","White",0.7375
"New Mexico","American Indian or Alaska Native",0.0983967100396865
"New Mexico","Asian",0.0243913338955923
"New Mexico","Black",0.0152160952493816
"New Mexico","Hispanic",0.394836984628517
"New Mexico","Native Hawaiian or Other Pacific Islander",
"New Mexico","White",0.467158876186822
"New York","American Indian or Alaska Native",
"New York","Asian",0.119554204660588
"New York","Black",0.0884366756324742
"New York","Hispanic",0.127
"New York","Native Hawaiian or Other Pacific Islander",
"New York","White",0.665009119706938
"North Carolina","American Indian or Alaska Native",0.00852878464818763
"North Carolina","Asian",0.035181236673774
"North Carolina","Black",0.17277099927976
"North Carolina","Hispanic",0.05
"North Carolina","Native Hawaiian or Other Pacific Islander",
"North Carolina","White",0.733518979398279
"North Dakota","American Indian or Alaska Native",
"North Dakota","Asian",
"North Dakota","Black",
"North Dakota","Hispanic",
"North Dakota","Native Hawaiian or Other Pacific Islander",
"North Dakota","White",
"Ohio","American Indian or Alaska Native",0.00214512406801844
"Ohio","Asian",0.0243908482692913
"Ohio","Black",0.0745519892417383
"Ohio","Hispanic",0.018486665
"Ohio","Native Hawaiian or Other Pacific Islander",0.000732424664064674
"Ohio","White",0.879692948756887
"Oklahoma","American Indian or Alaska Native",0.0651507591222425
"Oklahoma","Asian",0.0426568693201969
"Oklahoma","Black",0.0569511941751729
"Oklahoma","Hispanic",0.052265561
"Oklahoma","Native Hawaiian or Other Pacific Islander",
"Oklahoma","White",0.782975616382388
"Oregon","American Indian or Alaska Native",0.0238095238095238
"Oregon","Asian",0.0476190476190476
"Oregon","Black",0.0119047619047619
"Oregon","Hispanic",0.0595238095238095
"Oregon","Native Hawaiian or Other Pacific Islander",0.0119047619047619
"Oregon","White",0.845238095238095
"Pennsylvania","American Indian or Alaska Native",0.000216183011964512
"Pennsylvania","Asian",0.0140524113185075
"Pennsylvania","Black",0.0677321390153656
"Pennsylvania","Hispanic",0.026453426
"Pennsylvania","Native Hawaiian or Other Pacific Islander",0.00177188630063993
"Pennsylvania","White",0.889773954353522
"Rhode Island","American Indian or Alaska Native",0.00316901408450704
"Rhode Island","Asian",0.0210093896713615
"Rhode Island","Black",0.0352112676056338
"Rhode Island","Hispanic",0.0938967136150235
"Rhode Island","Native Hawaiian or Other Pacific Islander",0.00164319248826291
"Rhode Island","White",0.845070422535211
"South Carolina","American Indian or Alaska Native",
"South Carolina","Asian",0.0166157211171443
"South Carolina","Black",0.202244263500852
"South Carolina","Hispanic",0.030236171541678
"South Carolina","Native Hawaiian or Other Pacific Islander",
"South Carolina","White",0.750903843840325
"South Dakota","American Indian or Alaska Native",0.0156599552572707
"South Dakota","Asian",0.00223713646532438
"South Dakota","Black",0.00671140939597315
"South Dakota","Hispanic",0.00223713646532438
"South Dakota","Native Hawaiian or Other Pacific Islander",
"South Dakota","White",0.973154362416107
"Tennessee","American Indian or Alaska Native",
"Tennessee","Asian",0.0190067443286327
"Tennessee","Black",0.115469483936235
"Tennessee","Hispanic",0.0267
"Tennessee","Native Hawaiian or Other Pacific Islander",
"Tennessee","White",0.838823771735132
"Texas","American Indian or Alaska Native",
"Texas","Asian",0.080918184149782
"Texas","Black",0.0870736086175943
"Texas","Hispanic",0.308027699410105
"Texas","Native Hawaiian or Other Pacific Islander",
"Texas","White",0.523980507822519
"Utah","American Indian or Alaska Native",0.0112485939257593
"Utah","Asian",0.0281214848143982
"Utah","Black",0.0078740157480315
"Utah","Hispanic",0.0719910011248594
"Utah","Native Hawaiian or Other Pacific Islander",0.00674915635545557
"Utah","White",0.874015748031496
"Vermont","American Indian or Alaska Native",0.000915439883593952
"Vermont","Asian",0.0118404166775751
"Vermont","Black",0.00661089996794562
"Vermont","Hispanic",
"Vermont","Native Hawaiian or Other Pacific Islander",0.0000493739173727372
"Vermont","White",0.980583869553513
"Virginia","American Indian or Alaska Native",0.0053248136315229
"Virginia","Asian",0.0468583599574015
"Virginia","Black",0.150159744408946
"Virginia","Hispanic",0.0788072417465389
"Virginia","Native Hawaiian or Other Pacific Islander",
"Virginia","White",0.718849840255591
"Washington","American Indian or Alaska Native",0.0224719101123595
"Washington","Asian",0.101123595505618
"Washington","Black",0.0337078651685393
"Washington","Hispanic",0.0786516853932584
"Washington","Native Hawaiian or Other Pacific Islander",0.0112359550561798
"Washington","White",0.752808988764045
"West Virginia","American Indian or Alaska Native",
"West Virginia","Asian",
"West Virginia","Black",0.0252365930599369
"West Virginia","Hispanic",
"West Virginia","Native Hawaiian or Other Pacific Islander",
"West Virginia","White",0.974763406940063
"Wisconsin","American Indian or Alaska Native",0.00947808338608818
"Wisconsin","Asian",0.0221693123753206
"Wisconsin","Black",0.0310859930471376
"Wisconsin","Hispanic",0.031452
"Wisconsin","Native Hawaiian or Other Pacific Islander",
"Wisconsin","White",0.905814611191454
"Wyoming","American Indian or Alaska Native",
"Wyoming","Asian",
"Wyoming","Black",
"Wyoming","Hispanic",
"Wyoming","Native Hawaiian or Other Pacific Islander",
"Wyoming","White",
